ID_Cliente,Evento,Tiempo,Tiempo_Desde_Ultima_Llegada,Tamaño_Cola,Cajeros_Ocupados,Tiempo_Inicio_Servicio,Tiempo_Fin_Servicio,Tiempo_En_Cola,Tiempo_En_Servicio,Tiempo_Total
89,FinServicio,107.19,1.14,1,1,104.83442799949718,107.18831664228924,,2.353888642792057,2.3538886427920573
90,InicioServicio,107.19,0.00,0,1,107.18831664228924,,2.316596461257106,,
94,Llegada,107.36,0.17,0,1,,,,,
91,FinServicio,110.96,3.60,1,1,104.98693764210304,110.96160849147016,,5.974670849367118,5.974670849367115
92,InicioServicio,110.96,0.00,0,1,110.96160849147016,,5.842016875353181,,
90,FinServicio,111.60,0.64,1,1,107.18831664228924,111.6023428520915,,4.41402620980226,6.730622671059365
94,InicioServicio,111.60,0.00,0,1,111.6023428520915,,4.239074562574345,,
95,Llegada,113.58,1.98,0,1,,,,,
94,FinServicio,113.80,0.22,1,1,111.6023428520915,113.79807645896707,,2.1957336068755713,6.434808169449923
95,InicioServicio,113.80,0.00,0,1,113.79807645896707,,0.22021602644244354,,
95,FinServicio,114.17,0.37,0,1,113.79807645896707,114.16832060601482,,0.37024414704774616,0.590460173490186
96,Llegada,114.23,0.06,0,0,,,,,
96,InicioServicio,114.23,0.00,0,1,114.23085133543344,,,,
93,FinServicio,114.46,0.23,0,1,106.0480054177467,114.4644374565255,,8.416432038778813,8.416432038778808
97,Llegada,115.67,1.21,0,1,,,,,
98,Llegada,115.78,0.10,1,1,,,,,
99,Llegada,116.52,0.74,1,1,,,,,
99,InicioServicio,116.52,0.00,0,1,116.51764447057967,,,,
99,FinServicio,116.71,0.19,0,1,116.51764447057967,116.70836884671424,,0.19072437613457263,0.19072437613456827
100,Llegada,117.13,0.42,1,1,,,,,
100,InicioServicio,117.13,0.00,0,1,117.13056318558269,,,,
101,Llegada,117.28,0.15,1,1,,,,,
92,FinServicio,117.73,0.45,1,1,110.96160849147016,117.73084220842111,,6.769233716950955,12.611250592304131
98,InicioServicio,117.73,0.00,0,1,117.73084220842111,,1.9537252675692685,,
102,Llegada,119.12,1.39,1,1,,,,,
103,Llegada,119.72,0.60,1,1,,,,,
103,InicioServicio,119.72,0.00,0,1,119.71869778512475,,,,
104,Llegada,119.82,0.10,1,1,,,,,
105,Llegada,120.42,0.59,1,1,,,,,
105,InicioServicio,120.42,0.00,0,1,120.41527175742172,,,,
98,FinServicio,122.03,1.62,1,1,117.73084220842111,122.03341437491765,,4.302572166496542,6.256297434065814
102,InicioServicio,122.03,0.00,0,1,122.03341437491765,,2.915533763211968,,
106,Llegada,122.69,0.66,1,1,,,,,
103,FinServicio,122.74,0.05,1,1,119.71869778512475,122.74252851094647,,3.0238307258217314,3.0238307258217247
104,InicioServicio,122.74,0.00,0,1,122.74252851094647,,2.922102260172764,,
96,FinServicio,123.03,0.28,1,1,114.23085133543344,123.02658103224952,,8.795729696816077,8.795729696816082
97,InicioServicio,123.03,0.00,0,1,123.02658103224952,,7.352376431436639,,
107,Llegada,124.14,1.11,0,1,,,,,
100,FinServicio,125.09,0.94,1,1,117.13056318558269,125.08518057378367,,7.954617388200983,7.954617388200987
101,InicioServicio,125.09,0.00,0,1,125.08518057378367,,7.809210628241075,,
108,Llegada,125.15,0.07,1,1,,,,,
97,FinServicio,125.43,0.27,1,1,123.02658103224952,125.42830608846648,,2.401725056216961,9.7541014876536
107,InicioServicio,125.43,0.00,0,1,125.42830608846648,,1.2878361120452553,,
101,FinServicio,126.24,0.81,1,1,125.08518057378367,126.24317225984063,,1.1579916860569557,8.967202314298035
108,InicioServicio,126.24,0.00,0,1,126.24317225984063,,1.0898654449042766,,
108,FinServicio,126.30,0.06,0,1,126.24317225984063,126.30182436214885,,0.05865210230821996,1.1485175472124922
102,FinServicio,126.73,0.43,1,1,122.03341437491765,126.73102350590686,,4.697609130989205,7.613142894201175
106,InicioServicio,126.73,0.00,0,1,126.73102350590686,,4.0406666828349245,,
104,FinServicio,128.06,1.33,0,1,122.74252851094647,128.0573308278474,,5.314802316900945,8.236904577073702
109,Llegada,128.32,0.26,0,1,,,,,
107,FinServicio,128.61,0.30,1,1,125.42830608846648,128.61491388600166,,3.186607797535184,4.47444390958043
